Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Footprint,Type,Your Instructions / Notes
1,AE1,1,Molex,47948-0001,ANTENNA MID CHIP,Molex:Molex_47948-0001,SMD,
2,"C1,C3",2,Murata,GRM155C81C225KE11D,CAP CER 2.2uF 16V 10% X6S 0402,Capacitor_SMD:C_0402_1005Metric,SMD,5V DC DERATED TO 1uF
3,C4,1,Murata,GRM035R60J475ME15D,CAP CER 4.7uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,3.3V DC DERATED TO 1uF
4,"C10,C15",2,Murata,GRM033R60J224KE15D,CAP CER 0.22uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.55V DC AUDIO DERATED TO 0.1uF
5,"C5,C17",2,Murata,GRM155R60J106ME15D,CAP CER 10uF 6.3V 20% X5R 0402,Capacitor_SMD:C_0402_1005Metric,SMD,3.3V DC
6,"C11,C12,C13,C14,C18,C19,C20,C21,C22",9,Murata,GRM033C80J105ME05D,CAP CER 1uF 6.3V 20% X6S 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.55V DC AUDIO
7,"C2,C24,C28",3,Murata,GRM033C80J105ME05D,CAP CER 1uF 6.3V 20% X6S 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.2V DC
8,"C6,C7,C8,C9,C16,C23,C25,C26,C27,C29,C30,C31,C32",13,Murata,GRM033R60J224KE15D,CAP CER 0.22uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,3.3V DC DERATED TO 0.1uF
9,"D1,D2",2,Nexperia,"PMEG2010BELD,315",DIODE SCHOTTKY 20V 1A LOW VF SOD882D,Nexperia:D_SOD-882D,SMD,
10,D3,1,ON Semiconductor,ESD7016MUTAG,IC ESD PROTECTION UDFN-8,ONSemi:517CB-3.3x1.0mm_P0.4mm,SMD,
11,"D4,D5",2,Lumex,SMD-LX0707RGB-TR,IC LED RGB 0707,Lumex:SMD-LX0707RGB-TR,SMD,"REPLACEMENT PARTS: Everlight 19-C47/RSGHBHC-5V01/2T, Everlight EAST1818RGBICA0"
12,J1,1,"Japan Aviation Electronics Industry, Ltd.",DX07S016JA1R1500,CONN USB-C,JAE:USB_C_Receptacle_JAE_DX07S016JA1,SMD,"PIN-IN-PASTE, paste overprinting included in design"
13,"J5,J6",2,Sullins,PRPC006SACN-RC,"CONN HEADER 6 POS .100"" SGL GOLD MATING 5.84mm TAIL 8.13mm",reDIP:PinHeader_1x06_P2.54mm_Vertical_LongTail,thru-hole,
14,"J7,J8",2,Sullins,PRPC010SAAN-RC,"CONN HEADER 10 POS .100"" SGL GOLD MATING 5.84mm TAIL 3.05mm",reDIP:PinHeader_1x10_P2.54mm_Vertical,thru-hole,
15,Q1,1,Nexperia,"PEMH4,115",TRANSISTOR NPN/NPN RET R1=10kΩ  R2=open SOT666,Nexperia:SOT-666,SMD,
16,Q2,1,Nexperia,"PDTA143ZMB,315",TRANSISTOR PNP RET R1=4.7kΩ R2=47kΩ 100mA SOT883B,Nexperia:SOT-883,SMD,
17,"R2,R3,R5",3,Panasonic,ERJ-1GNJ222C,RES 2.2kΩ 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
18,"R1,R6",2,Panasonic,ERJ-1GN0R00C,RES 0Ω 50mW 1% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
19,"R7,R8",2,Panasonic,ERJ-1GNJ512C,RES 5.1kΩ 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
20,"R9,R12",2,Panasonic,ERJ-1GNJ101C,RES 100Ω 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
