Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","47948-0001","Molex_47948-0001",12.085000,2.155000,0.000000,top
"C1","1uF","C_0402_1005Metric",6.430000,32.450000,90.000000,top
"C2","1uF","C_0201_0603Metric",5.570000,30.480000,270.000000,top
"C3","1uF","C_0402_1005Metric",4.510000,32.450000,90.000000,top
"C4","1uF","C_0201_0603Metric",3.270000,30.480000,270.000000,top
"C5","10uF","C_0402_1005Metric",12.030000,6.530000,315.000000,top
"C6","0.1uF","C_0201_0603Metric",11.293726,6.116274,315.000000,top
"C7","0.1uF","C_0201_0603Metric",10.430000,30.570000,90.000000,top
"C8","0.1uF","C_0201_0603Metric",14.670000,25.220000,315.000000,top
"C9","0.1uF","C_0201_0603Metric",13.456274,8.243726,315.000000,top
"C10","0.1uF","C_0201_0603Metric",14.840000,28.450000,90.000000,top
"C11","1uF","C_0201_0603Metric",14.470000,33.010000,0.000000,top
"C12","1uF","C_0201_0603Metric",14.470000,29.510000,180.000000,top
"C13","1uF","C_0201_0603Metric",14.470000,30.910000,0.000000,top
"C14","1uF","C_0201_0603Metric",14.470000,30.210000,180.000000,top
"C15","0.1uF","C_0201_0603Metric",12.550000,30.570000,90.000000,top
"C16","0.1uF","C_0201_0603Metric",7.670000,1.900000,45.000000,top
"C17","10uF","C_0402_1005Metric",3.437053,2.132947,135.000000,top
"C18","1uF","C_0201_0603Metric",9.010000,28.870000,270.000000,top
"C19","1uF","C_0201_0603Metric",9.710000,28.870000,270.000000,top
"C20","1uF","C_0201_0603Metric",14.460000,32.310000,180.000000,top
"C21","1uF","C_0201_0603Metric",14.470000,31.610000,180.000000,top
"C22","1uF","C_0201_0603Metric",11.130000,30.570000,90.000000,top
"C23","0.1uF","C_0201_0603Metric",12.970000,32.660000,90.000000,top
"C24","1uF","C_0201_0603Metric",13.670000,24.720000,45.000000,top
"C25","0.1uF","C_0201_0603Metric",14.160000,24.220000,45.000000,top
"C26","10n","C_0201_0603Metric",14.660000,23.720000,45.000000,top
"C27","0.1uF","C_0201_0603Metric",3.050000,21.590000,270.000000,top
"C28","0.1uF","C_0201_0603Metric",3.600000,19.850000,225.000000,top
"C29","10uF","C_0402_1005Metric",4.020000,19.120000,225.000000,top
"C30","0.1uF","C_0201_0603Metric",4.086048,15.716048,225.000000,top
"C31","0.1uF","C_0201_0603Metric",4.750000,18.200000,135.000000,top
"C32","0.1uF","C_0201_0603Metric",4.073952,24.303952,45.000000,top
"C33","0.1uF","C_0201_0603Metric",14.740000,21.590000,90.000000,top
"D1","PMEG2010BELD","D_SOD-882D",5.470000,32.560000,90.000000,top
"D2","PMEG2010BELD","D_SOD-882D",3.550000,32.560000,90.000000,top
"D3","ESD7016","517CB-3.3x1.0mm_P0.4mm",8.890000,32.590000,270.000000,top
"D4","SMD-LX0707RGB-TR","SMD-LX0707RGB-TR",5.792183,15.080000,135.000000,top
"D5","SMD-LX0707RGB-TR","SMD-LX0707RGB-TR",4.082183,13.380000,45.000000,top
"J1","DX07S016JA3","USB_C_Receptacle_JAE_DX07S016JA1",8.890000,37.540000,180.000000,top
"L1","DNP","DNP_0201_0603Metric",11.330000,4.760000,0.000000,top
"Q1","PEMH4","SOT-666",3.769029,8.041111,315.000000,top
"Q2","PDTA143ZMB","SOT-883",3.482513,16.322513,45.000000,top
"R1","0","R_0201_0603Metric",10.700000,5.710000,135.000000,top
"R2","2.2k","R_0201_0603Metric",13.176274,13.376274,45.000000,top
"R3","2.2k","R_0201_0603Metric",13.676274,12.876274,45.000000,top
"R4","10k","R_0201_0603Metric",14.400000,8.860000,270.000000,top
"R5","2.2k","R_0201_0603Metric",3.030000,6.265000,90.000000,top
"R6","0","R_0201_0603Metric",11.840000,30.570000,90.000000,top
"R7","5.1k","R_0201_0603Metric",12.960000,7.750000,135.000000,top
"R8","5.1k","R_0201_0603Metric",12.460000,7.250000,135.000000,top
"R9","100","R_0201_0603Metric",5.250000,18.700000,135.000000,top
"R10","10k","R_0201_0603Metric",4.576274,23.796274,225.000000,top
"R11","100","R_0201_0603Metric",7.380000,16.090000,0.000000,top
"R12","22","R_0201_0603Metric",7.080000,26.320000,45.000000,top
"U1","NCP163AMX120TBG","CASE711AJ_1.0x1.0mm_P0.65mm",6.730000,30.520000,0.000000,top
"U2","NCP167AMX330TBG","CASE711AJ_1.0x1.0mm_P0.65mm",4.420000,30.520000,0.000000,top
"U3","FSA221UMX","523BC_1.4x1.8_P0.4mm",8.880000,30.571500,90.000000,top
"U4","SGTL5000XNLA3","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",12.270000,27.060000,135.000000,top
"U5","ESP32-PICO-V3-02","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",8.890000,10.690000,135.000000,top
"U6","CP2102N-A02-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",5.740000,4.360000,45.000000,top
"U7","FSA8049UCX","WLCSP-9_1.16x1.16mm_Layout3x3_P0.4mm",11.840000,32.540000,90.000000,top
"U8","ICE40UP5K-SG48I","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",8.890000,21.590000,225.000000,top
"U10","CBTD3306GT","SOT-833-1",12.670000,16.120000,270.000000,top
